date,price,,,,,
2/4/19,1480.57,,,,,
2/5/19,1479.45,,,,,
2/6/19,1440.54,,,,,
2/7/19,1457.04,,,,,
2/8/19,1573.02,,,,,
2/11/19,1579.63,,,,,
2/12/19,1588.62,,,,,
2/13/19,1564.36,,,,,
2/14/19,1544.57,,,,,
2/15/19,1565.8,,,,,
2/18/19,1699.5,,,,,
2/19/19,1754.66,,,,,
2/20/19,1753.11,,,,,
2/21/19,1697.24,,,,,
2/22/19,1750.53,,,,,
2/25/19,1687.73,,,,,
2/26/19,1704.99,,,,,
2/27/19,1649.48,,,,,
2/28/19,1709.13,,,,,
3/1/19,1757.9,,,,,
3/4/19,1665.94,,,,,
3/5/19,1777.97,,,,,
3/6/19,1788.16,,,,,
3/7/19,1840.87,,,,,
3/8/19,1853.99,,,,,
3/11/19,1847.58,,,,,
3/12/19,1917.66,,,,,
3/13/19,1920.57,,,,,
3/14/19,1949.84,,,,,
3/15/19,1979.84,,,,,
3/18/19,1962.42,,,,,
3/19/19,1978.97,,,,,
3/20/19,2017.56,,,,,
3/21/19,1976.1,,,,,
3/22/19,2016.06,,,,,
3/25/19,1952.17,,,,,
3/26/19,1953.54,,,,,
3/27/19,2046.8,,,,,
3/28/19,2080.32,,,,,
3/29/19,2137.37,,,,,
4/1/19,2219.62,,,,,
4/2/19,2442.68,,,,,
4/3/19,2654.74,,,,,
4/4/19,2412.36,,,,,
4/5/19,2609.89,,,,,
4/8/19,2613.54,,,,,
4/9/19,2584,,,,,
4/10/19,2612.62,,,,,
4/11/19,2355.25,,,,,
4/12/19,2376.24,,,,,
4/15/19,2289.2,,,,,
4/16/19,2369.51,,,,,
4/17/19,2394.51,,,,,
4/18/19,2453.25,,,,,
4/19/19,2453.41,,,,,
4/22/19,2421.56,,,,,
4/23/19,2378.86,,,,,
4/24/19,2210.39,,,,,
4/25/19,2261.62,,,,,
4/26/19,2050.27,,,,,
4/29/19,2078.02,,,,,
4/30/19,2136.41,,,,,
5/1/19,2166.16,,,,,
5/2/19,2165.98,,,,,
5/3/19,2216.09,,,,,
5/6/19,2171.34,,,,,
5/7/19,2122.27,,,,,
5/8/19,2110.01,,,,,
5/9/19,2002.82,,,,,
5/10/19,2087.44,,,,,
5/13/19,2314.31,,,,,
5/14/19,2378.94,,,,,
5/15/19,2715.74,,,,,
5/16/19,2717.28,,,,,
5/17/19,2463.49,,,,,
5/20/19,2644.42,,,,,
5/21/19,2770.46,,,,,
5/22/19,2748.4,,,,,
5/23/19,2608.8,,,,,
5/24/19,2694.07,,,,,
5/27/19,2846.48,,,,,
5/28/19,2894.32,,,,,
5/29/19,3009.29,,,,,
5/30/19,2937.22,,,,,
5/31/19,2873.51,,,,,
6/3/19,2922.68,,,,,
6/4/19,2548.38,,,,,
6/5/19,2656.27,,,,,
6/6/19,2565.09,,,,,
6/7/19,2747.43,,,,,
6/10/19,2784.13,,,,,
6/11/19,2757,,,,,
6/12/19,2831,,,,,
6/13/19,2890.01,,,,,
6/14/19,2759.22,,,,,
6/17/19,2950.54,,,,,
6/18/19,2846.69,,,,,
6/19/19,2899.24,,,,,
6/20/19,2821.63,,,,,
6/21/19,2846.19,,,,,
6/24/19,3028.51,,,,,
6/25/19,3133.55,,,,,
6/26/19,3206.3,,,,,
6/27/19,2752.09,,,,,
6/28/19,2984.96,,,,,
7/1/19,2799.1,,,,,
7/2/19,2880.5,,,,,
7/3/19,2903.79,,,,,
7/4/19,2932.48,,,,,
7/5/19,2876.82,,,,,
7/8/19,2932.79,,,,,
